Language,Level,Question,Option A,Option B,Option C,Option D,Correct Option
HTML & CSS,Intermediate,How do you define a class in HTML & CSS?,class ClassName:,function ClassName() {},class: ClassName,define ClassName(),A
C++,Intermediate,How do you handle errors in C++?,Try-except blocks,None of the above,If-else statements,Error-handling functions,A
JavaScript,Intermediate,Explain functions in JavaScript.,Functions are used to store variables,Functions are reusable blocks of code,Functions handle user input,Functions are used for file I/O,B
React,Intermediate,What are common data structures in React?,"Lists, dictionaries, sets, tuples","Loops, arrays, classes","Functions, arrays, objects",None of the above,A
Kotlin,Intermediate,How do you define a class in Kotlin?,function ClassName() {},class ClassName:,class: ClassName,define ClassName(),B
HTML & CSS,Beginner,What is an array in HTML & CSS?,A set of variables,A collection of functions,A list of random values,A collection of elements of the same type,D
Scala,Intermediate,What are common data structures in Scala?,"Lists, dictionaries, sets, tuples",None of the above,"Functions, arrays, objects","Loops, arrays, classes",A
Bash,Beginner,What is an array in Bash?,A collection of elements of the same type,A set of variables,A collection of functions,A list of random values,A
COBOL,Advanced,How does memory management work in COBOL?,It involves allocation and deallocation of memory,Memory management is handled by users,It involves printing memory addresses,None of the above,A
Elixir,Beginner,What is the difference between a string and an integer in Elixir?,"A string is a number, and an integer is text","An integer is a whole number, a string is text",A string is a sequence of characters,There is no difference,B
C#,Intermediate,Explain the concept of scope in C#.,Scope defines where variables can be accessed,None of the above,Scope is how fast a program runs,Scope is the time limit for variable usage,A
Ruby,Intermediate,How do you handle errors in Ruby?,If-else statements,Error-handling functions,Try-except blocks,None of the above,C
TypeScript,Beginner,What are variables in TypeScript?,Used for user input,Used for program flow,Used for function definitions,Used to store data,D
Python,Intermediate,Explain the concept of scope in Python.,Scope defines where variables can be accessed,None of the above,Scope is the time limit for variable usage,Scope is how fast a program runs,A
Haskell,Advanced,How does memory management work in Haskell?,Memory management is handled by users,It involves allocation and deallocation of memory,None of the above,It involves printing memory addresses,B
TypeScript,Advanced,What are advanced use cases for TypeScript?,Basic website scripting,None of the above,File system management,"High-performance computing, data analysis, AI",D
JavaScript,Intermediate,What are common data structures in JavaScript?,"Lists, dictionaries, sets, tuples","Functions, arrays, objects",None of the above,"Loops, arrays, classes",A
Haskell,Beginner,How do you define a function in Haskell?,def function_name():,function function_name(){},function_name(){},function_name() = {},A
Objective-C,Beginner,What is an array in Objective-C?,A set of variables,A list of random values,A collection of functions,A collection of elements of the same type,D
Scala,Advanced,How does memory management work in Scala?,It involves allocation and deallocation of memory,It involves printing memory addresses,None of the above,Memory management is handled by users,A
R,Advanced,Explain multithreading or asynchronous operations in R.,Allows multiple tasks to run concurrently,Executes one task at a time,Handles memory management,None of the above,A
Ruby,Advanced,What is garbage collection in Ruby?,A manual process for freeing memory,Automatic memory management system,None of the above,A method for checking memory leaks,B
Python,Beginner,What is the syntax for a loop in Python?,for i = 0; i < 10; i++,while i < 10:,for i in range(10):,loop i in 10,C
Java,Beginner,What are variables in Java?,Used for user input,Used for program flow,Used to store data,Used for function definitions,C
Bash,Intermediate,How do you handle errors in Bash?,None of the above,Try-except blocks,Error-handling functions,If-else statements,B
SQL,Beginner,What is the difference between a string and an integer in SQL?,"An integer is a whole number, a string is text",There is no difference,A string is a sequence of characters,"A string is a number, and an integer is text",A
Haskell,Intermediate,Explain the concept of scope in Haskell.,Scope defines where variables can be accessed,None of the above,Scope is how fast a program runs,Scope is the time limit for variable usage,A
C,Intermediate,How do you handle errors in C?,If-else statements,None of the above,Error-handling functions,Try-except blocks,D
Rust,Beginner,What are variables in Rust?,Used for function definitions,Used for program flow,Used to store data,Used for user input,C
HTML & CSS,Advanced,How does memory management work in HTML & CSS?,None of the above,It involves printing memory addresses,It involves allocation and deallocation of memory,Memory management is handled by users,C
Swift,Intermediate,What are common data structures in Swift?,"Functions, arrays, objects",None of the above,"Lists, dictionaries, sets, tuples","Loops, arrays, classes",C
Scala,Intermediate,How do you define a class in Scala?,class ClassName:,function ClassName() {},class: ClassName,define ClassName(),A
Bash,Beginner,How do you write comments in Bash?,// comment,comment(),/* comment */,# comment,D
HTML & CSS,Advanced,How does memory management work in HTML & CSS?,None of the above,Memory management is handled by users,It involves allocation and deallocation of memory,It involves printing memory addresses,C
Dart,Beginner,How do you define a function in Dart?,def function_name():,function_name() = {},function_name(){},function function_name(){},A
Kotlin,Intermediate,How do you define a class in Kotlin?,class ClassName:,function ClassName() {},class: ClassName,define ClassName(),A
SQL,Intermediate,Explain functions in SQL.,Functions are reusable blocks of code,Functions are used for file I/O,Functions are used to store variables,Functions handle user input,A
SQL,Advanced,How does memory management work in SQL?,It involves printing memory addresses,It involves allocation and deallocation of memory,Memory management is handled by users,None of the above,B
C,Intermediate,How do you handle errors in C?,None of the above,Error-handling functions,Try-except blocks,If-else statements,C
Python,Intermediate,Explain the concept of scope in Python.,None of the above,Scope is the time limit for variable usage,Scope is how fast a program runs,Scope defines where variables can be accessed,D
Dart,Advanced,What is garbage collection in Dart?,A method for checking memory leaks,Automatic memory management system,None of the above,A manual process for freeing memory,B
Haskell,Intermediate,Explain the concept of scope in Haskell.,Scope defines where variables can be accessed,Scope is the time limit for variable usage,None of the above,Scope is how fast a program runs,A
R,Advanced,What is garbage collection in R?,A method for checking memory leaks,Automatic memory management system,A manual process for freeing memory,None of the above,B
HTML & CSS,Advanced,What is garbage collection in HTML & CSS?,None of the above,A manual process for freeing memory,A method for checking memory leaks,Automatic memory management system,D
Groovy,Advanced,How does memory management work in Groovy?,Memory management is handled by users,None of the above,It involves allocation and deallocation of memory,It involves printing memory addresses,C
COBOL,Intermediate,How do you define a class in COBOL?,function ClassName() {},class ClassName:,define ClassName(),class: ClassName,B
PHP,Advanced,What are advanced use cases for PHP?,None of the above,File system management,"High-performance computing, data analysis, AI",Basic website scripting,C
JavaScript,Beginner,How do you write comments in JavaScript?,// comment,# comment,/* comment */,comment(),B
F#,Beginner,How do you define a function in F#?,function_name() = {},function_name(){},function function_name(){},def function_name():,D
Ruby,Intermediate,Explain functions in Ruby.,Functions handle user input,Functions are used to store variables,Functions are used for file I/O,Functions are reusable blocks of code,D
Go,Intermediate,Explain functions in Go.,Functions are used to store variables,Functions are used for file I/O,Functions are reusable blocks of code,Functions handle user input,C
HTML & CSS,Beginner,What is an array in HTML & CSS?,A collection of functions,A set of variables,A list of random values,A collection of elements of the same type,D
Scala,Intermediate,Explain functions in Scala.,Functions are reusable blocks of code,Functions are used for file I/O,Functions are used to store variables,Functions handle user input,A
Julia,Beginner,How do you import modules in Julia?,require module_name,using module_name,include module_name,import module_name,D
Bash,Intermediate,How do you define a class in Bash?,define ClassName(),function ClassName() {},class: ClassName,class ClassName:,D
Groovy,Advanced,How does memory management work in Groovy?,Memory management is handled by users,It involves allocation and deallocation of memory,It involves printing memory addresses,None of the above,B
Elixir,Beginner,How do you write comments in Elixir?,comment(),# comment,/* comment */,// comment,B
Rust,Intermediate,Explain functions in Rust.,Functions are reusable blocks of code,Functions handle user input,Functions are used to store variables,Functions are used for file I/O,A
COBOL,Advanced,How does memory management work in COBOL?,It involves allocation and deallocation of memory,Memory management is handled by users,It involves printing memory addresses,None of the above,A
MATLAB,Advanced,What are advanced use cases for MATLAB?,Basic website scripting,"High-performance computing, data analysis, AI",File system management,None of the above,B
Perl,Beginner,How do you import modules in Perl?,using module_name,include module_name,import module_name,require module_name,C
Swift,Intermediate,Explain the concept of scope in Swift.,Scope is how fast a program runs,None of the above,Scope defines where variables can be accessed,Scope is the time limit for variable usage,C
Java,Beginner,What is an array in Java?,A list of random values,A set of variables,A collection of functions,A collection of elements of the same type,D
C#,Beginner,How do you write comments in C#?,# comment,/* comment */,comment(),// comment,A
R,Beginner,How do you define a function in R?,def function_name():,function function_name(){},function_name() = {},function_name(){},A
Java,Advanced,What are advanced use cases for Java?,"High-performance computing, data analysis, AI",None of the above,Basic website scripting,File system management,A
TypeScript,Intermediate,How do you handle errors in TypeScript?,None of the above,If-else statements,Try-except blocks,Error-handling functions,C
React,Intermediate,How do you handle errors in React?,Try-except blocks,Error-handling functions,None of the above,If-else statements,A
C,Beginner,What does the print function do in C?,Returns a value,Writes a value to a file,Stores data,Displays a value on the screen,D
Perl,Intermediate,Explain functions in Perl.,Functions are reusable blocks of code,Functions are used for file I/O,Functions handle user input,Functions are used to store variables,A
Go,Intermediate,What are common data structures in Go?,"Functions, arrays, objects","Loops, arrays, classes",None of the above,"Lists, dictionaries, sets, tuples",D
Elixir,Beginner,How do you import modules in Elixir?,using module_name,include module_name,import module_name,require module_name,C
C#,Advanced,How does memory management work in C#?,None of the above,Memory management is handled by users,It involves allocation and deallocation of memory,It involves printing memory addresses,C
Kotlin,Intermediate,Explain functions in Kotlin.,Functions are used for file I/O,Functions are reusable blocks of code,Functions are used to store variables,Functions handle user input,B
Go,Intermediate,How do you define a class in Go?,class: ClassName,class ClassName:,define ClassName(),function ClassName() {},B
Haskell,Beginner,How do you define a function in Haskell?,function_name() = {},function function_name(){},def function_name():,function_name(){},C
Swift,Beginner,What is the syntax for a loop in Swift?,while i < 10:,for i in range(10):,for i = 0; i < 10; i++,loop i in 10,B
R,Beginner,How do you define a function in R?,function_name(){},function function_name(){},def function_name():,function_name() = {},C
React,Advanced,Explain multithreading or asynchronous operations in React.,Executes one task at a time,Allows multiple tasks to run concurrently,None of the above,Handles memory management,B
Lua,Beginner,What does the print function do in Lua?,Stores data,Displays a value on the screen,Writes a value to a file,Returns a value,B
Go,Intermediate,Explain the concept of scope in Go.,Scope is the time limit for variable usage,Scope is how fast a program runs,Scope defines where variables can be accessed,None of the above,C
F#,Intermediate,Explain the concept of scope in F#.,Scope is the time limit for variable usage,Scope defines where variables can be accessed,Scope is how fast a program runs,None of the above,B
Go,Intermediate,Explain the concept of scope in Go.,Scope is the time limit for variable usage,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,D
Elixir,Advanced,How does memory management work in Elixir?,It involves printing memory addresses,None of the above,It involves allocation and deallocation of memory,Memory management is handled by users,C
Julia,Intermediate,How do you define a class in Julia?,define ClassName(),function ClassName() {},class: ClassName,class ClassName:,D
Kotlin,Beginner,What is the syntax for a loop in Kotlin?,for i = 0; i < 10; i++,loop i in 10,while i < 10:,for i in range(10):,D
Perl,Beginner,What is a list in Perl?,A way to store numbers,A data structure that stores ordered elements,A variable type for text,A function for grouping variables,B
Java,Beginner,What is an array in Java?,A list of random values,A collection of functions,A set of variables,A collection of elements of the same type,D
Go,Beginner,How do you import modules in Go?,include module_name,using module_name,require module_name,import module_name,D
React,Beginner,What is an array in React?,A collection of elements of the same type,A collection of functions,A set of variables,A list of random values,A
SQL,Advanced,Discuss performance optimization techniques in SQL.,"Optimize algorithms, reduce time complexity",Use only built-in functions,Write all code in one function,Avoid using any loops,A
Rust,Beginner,What are variables in Rust?,Used for function definitions,Used for user input,Used for program flow,Used to store data,D
React,Advanced,What are advanced use cases for React?,Basic website scripting,"High-performance computing, data analysis, AI",File system management,None of the above,B
PHP,Beginner,What is a list in PHP?,A variable type for text,A way to store numbers,A data structure that stores ordered elements,A function for grouping variables,C
Groovy,Beginner,What are variables in Groovy?,Used for program flow,Used for function definitions,Used to store data,Used for user input,C
Dart,Intermediate,How do you handle errors in Dart?,Try-except blocks,None of the above,If-else statements,Error-handling functions,A
Java,Beginner,What is the difference between a string and an integer in Java?,A string is a sequence of characters,"An integer is a whole number, a string is text",There is no difference,"A string is a number, and an integer is text",B
Rust,Advanced,What are advanced use cases for Rust?,Basic website scripting,"High-performance computing, data analysis, AI",File system management,None of the above,B
Julia,Advanced,What is garbage collection in Julia?,A manual process for freeing memory,A method for checking memory leaks,Automatic memory management system,None of the above,C
Lua,Intermediate,How do you define a class in Lua?,class: ClassName,class ClassName:,define ClassName(),function ClassName() {},B
Python,Intermediate,How do you handle errors in Python?,Error-handling functions,None of the above,Try-except blocks,If-else statements,C
React,Beginner,What does the print function do in React?,Stores data,Writes a value to a file,Returns a value,Displays a value on the screen,D
Groovy,Intermediate,Explain functions in Groovy.,Functions handle user input,Functions are used for file I/O,Functions are used to store variables,Functions are reusable blocks of code,D
Scala,Intermediate,How do you define a class in Scala?,define ClassName(),class: ClassName,class ClassName:,function ClassName() {},C
F#,Intermediate,How do you define a class in F#?,class ClassName:,function ClassName() {},define ClassName(),class: ClassName,A
Rust,Intermediate,How do you handle errors in Rust?,None of the above,If-else statements,Error-handling functions,Try-except blocks,D
PHP,Advanced,What are advanced use cases for PHP?,Basic website scripting,File system management,"High-performance computing, data analysis, AI",None of the above,C
Objective-C,Intermediate,How do you define a class in Objective-C?,function ClassName() {},define ClassName(),class ClassName:,class: ClassName,C
Python,Advanced,What is garbage collection in Python?,A method for checking memory leaks,None of the above,A manual process for freeing memory,Automatic memory management system,D
C,Advanced,Discuss performance optimization techniques in C.,Avoid using any loops,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,B
C,Advanced,What are advanced use cases for C?,File system management,Basic website scripting,None of the above,"High-performance computing, data analysis, AI",D
Swift,Advanced,What is garbage collection in Swift?,None of the above,A method for checking memory leaks,A manual process for freeing memory,Automatic memory management system,D
Dart,Beginner,What are variables in Dart?,Used to store data,Used for function definitions,Used for program flow,Used for user input,A
MATLAB,Advanced,What is garbage collection in MATLAB?,A method for checking memory leaks,A manual process for freeing memory,None of the above,Automatic memory management system,D
C,Advanced,Explain multithreading or asynchronous operations in C.,Executes one task at a time,None of the above,Handles memory management,Allows multiple tasks to run concurrently,D
C++,Advanced,What is garbage collection in C++?,A method for checking memory leaks,None of the above,A manual process for freeing memory,Automatic memory management system,D
React,Advanced,Explain multithreading or asynchronous operations in React.,Handles memory management,Allows multiple tasks to run concurrently,Executes one task at a time,None of the above,B
Swift,Advanced,What is garbage collection in Swift?,A method for checking memory leaks,A manual process for freeing memory,Automatic memory management system,None of the above,C
Scala,Advanced,What is garbage collection in Scala?,None of the above,Automatic memory management system,A manual process for freeing memory,A method for checking memory leaks,B
TypeScript,Intermediate,Explain the concept of scope in TypeScript.,Scope defines where variables can be accessed,Scope is the time limit for variable usage,None of the above,Scope is how fast a program runs,A
PHP,Intermediate,How do you define a class in PHP?,class: ClassName,function ClassName() {},class ClassName:,define ClassName(),C
Julia,Beginner,What is an array in Julia?,A set of variables,A collection of elements of the same type,A collection of functions,A list of random values,B
R,Advanced,Explain multithreading or asynchronous operations in R.,Allows multiple tasks to run concurrently,Handles memory management,None of the above,Executes one task at a time,A
Java,Intermediate,Explain functions in Java.,Functions handle user input,Functions are used to store variables,Functions are reusable blocks of code,Functions are used for file I/O,C
Swift,Beginner,What is an array in Swift?,A list of random values,A collection of functions,A set of variables,A collection of elements of the same type,D
MATLAB,Advanced,Explain multithreading or asynchronous operations in MATLAB.,Handles memory management,None of the above,Allows multiple tasks to run concurrently,Executes one task at a time,C
Groovy,Advanced,Discuss performance optimization techniques in Groovy.,Use only built-in functions,Avoid using any loops,Write all code in one function,"Optimize algorithms, reduce time complexity",D
Julia,Beginner,What is the syntax for a loop in Julia?,for i = 0; i < 10; i++,loop i in 10,while i < 10:,for i in range(10):,D
R,Intermediate,Explain functions in R.,Functions are used to store variables,Functions handle user input,Functions are used for file I/O,Functions are reusable blocks of code,D
